Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",22.56,-0.29,-1.27%,23.33,22.25,1008600,10/09/18
AAON,"Aaon Inc",34,-0.64,-1.85%,35.08,33.95,148900,10/09/18
AAT,"American Assets Trust",37.42,-0.03,-0.08%,37.72,37.11,212900,10/09/18
AAWW,"Atlas Air Ww",55.95,-3.57,-6.00%,59.76,55.75,564600,10/09/18
AAXN,"Axon Inc",62.84,-0.57,-0.90%,64.77,62.17,499700,10/09/18
ABCB,"Ameris Bancorp",45.66,-0.19,-0.41%,45.9,45.4,227600,10/09/18
ABG,"Asbury Automotive Group Inc",63.06,-0.48,-0.76%,63.89,62.8,345800,10/09/18
ABM,"ABM Industries Incorporated",32.65,0.54,+1.68%,32.79,31.94,697600,10/09/18
ACET,"Aceto Cp",2.23,-0.14,-5.91%,2.43,2.22,535100,10/09/18
ACLS,"Axcelis Tech Inc",17.63,-0.17,-0.96%,18,17.42,279200,10/09/18
ACOR,"Acorda Therapeutics",16.36,-1.29,-7.31%,17.67,16.29,1160400,10/09/18
ADC,"Agree Realty Corp",53.32,0.52,+0.98%,53.51,52.45,349000,10/09/18
ADTN,"Adtran Inc",17.58,0.38,+2.21%,17.67,17.03,230700,10/09/18
AEGN,"Aegion Corp",24.12,0.12,+0.50%,24.32,23.74,90500,10/09/18
AEIS,"Advanced Energy",47.65,-0.4,-0.83%,48.19,47.38,329900,10/09/18
AEL,"American Equity Investment Life",36.09,-0.04,-0.11%,36.32,35.74,305500,10/09/18
AGYS,"Agilysys Inc",15.44,0.01,+0.06%,15.6,15.39,53300,10/09/18
AHH,"Armada Hoffler Properties Inc",15.01,0.12,+0.81%,15.08,14.89,419000,10/09/18
AIN,"Albany International Corp",74.54,-1.13,-1.49%,76.12,74.33,143000,10/09/18
AIR,"AAR Corp",45.62,-0.3,-0.65%,46,44.81,261500,10/09/18
AIT,"Applied Industrial Technologies",76.08,-0.19,-0.25%,76.94,75.86,260300,10/09/18
AJRD,"Aerojet Rocketdyne Holdings",32.2,-0.47,-1.44%,32.74,31.63,575600,10/09/18
AKR,"Acadia Realty Trust",28.06,-0.14,-0.50%,28.29,27.81,391900,10/09/18
AKS,"AK Steel Holding Corp",4.8,-0.12,-2.44%,4.94,4.79,6563800,10/09/18
ALG,"Alamo Group",93.08,-0.03,-0.03%,93.57,92.7,52700,10/09/18
ALGT,"Allegiant Travel Com",119,-0.38,-0.32%,120.4,117.3,208100,10/09/18
ALRM,Alarm.com,48.7,-0.35,-0.71%,49.87,48.51,539800,10/09/18
AMAG,"Amag Pharmaceuticals",22.54,0.55,+2.50%,22.69,21.26,752700,10/09/18
AMBC,"Ambac Financial Grp",20.11,0.34,+1.72%,20.21,19.59,242600,10/09/18
AMED,"Amedisys Inc",118.86,2.03,+1.74%,121.23,116.48,300600,10/09/18
AMN,"Amn Healthcare Services Inc",52.7,1,+1.93%,52.86,51.69,273200,10/09/18
AMPH,"Amphastar Pharma",19.02,0.17,+0.90%,19.2,18.78,128900,10/09/18
AMSF,"Amerisafe Inc",63.05,0.56,+0.90%,63.46,61.38,55900,10/09/18
AMWD,"Amer Woodmark Cp",71.86,-2.83,-3.79%,74.65,70.94,299600,10/09/18
ANDE,"Andersons Inc",37.37,-0.17,-0.45%,38.13,36.72,130700,10/09/18
ANF,"Abercrombie & Fitch Company",19.44,-0.34,-1.72%,20.05,19.4,1565400,10/09/18
ANGO,"Angiodynamics Inc",20.35,-0.09,-0.44%,20.84,19.93,201900,10/09/18
ANIK,"Anika Therapeutics",41.65,-1.35,-3.14%,43.22,41.37,103800,10/09/18
ANIP,"ANI Pharma Inc",55.5,0.74,+1.35%,56.39,54.54,69000,10/09/18
APEI,"American Pub. Edu.",30.56,0.75,+2.52%,30.71,29.18,87800,10/09/18
APOG,"Apogee Entrpr Inc",40.64,-0.57,-1.38%,41.52,40.53,169100,10/09/18
ARCB,"Arcbest Corp",42.32,-0.38,-0.89%,43.92,41.94,296000,10/09/18
ARI,"Apollo Commercial Real Estate",18.84,-0.01,-0.05%,18.91,18.75,867700,10/09/18
AROC,"Archrock Inc",12.36,0.06,+0.49%,12.59,12.19,835800,10/09/18
ARR,"Armour Residential R",21.81,0.03,+0.14%,21.92,21.7,495600,10/09/18
ASGN,"On Assignment",70.31,-0.77,-1.08%,70.9,69.93,427000,10/09/18
ASIX,"Advansix Inc",32.7,-0.33,-1.00%,33.27,32.58,185900,10/09/18
ASNA,"Ascena Retail Grp",4.34,0.14,+3.33%,4.49,4.18,2348800,10/09/18
ASRT,"Assertio Therapeutics Inc",5.66,-0.12,-2.08%,5.8,5.56,398400,10/09/18
ASTE,"Astec Inds Inc",51.18,-0.23,-0.45%,51.44,50.89,88600,10/09/18
ATNI,"Atn International",73.12,0.55,+0.76%,73.47,72.09,87900,10/09/18
ATU,"Actuant Corp",26.66,-0.76,-2.77%,27.54,26.65,443000,10/09/18
AVA,"Avista Corp",51.27,0.02,+0.04%,51.6,51.25,404400,10/09/18
AVAV,"Aerovironment Inc",98.38,-4.26,-4.15%,103.57,97.36,418100,10/09/18
AVD,"American Vanguard Corp",18.71,0.14,+0.75%,18.87,18.36,165300,10/09/18
AVP,"Avon Products",2.01,0.05,+2.55%,2.06,1.91,3502400,10/09/18
AWR,"American States Water Company",61.48,0.54,+0.89%,61.74,61,121800,10/09/18
AXE,"Anixter International Inc",65.92,-0.13,-0.20%,66.65,65.39,131500,10/09/18
AXL,"American Axle & Manufacturing",17.12,-0.65,-3.66%,17.76,16.84,2199700,10/09/18
AZZ,"Azz Inc",45.65,-3.02,-6.21%,49.75,43.34,482000,10/09/18
B,"Barnes Group",65.87,-1.11,-1.66%,67.15,65.75,436300,10/09/18
BABY,"Natus Medical Inc",34.07,-0.11,-0.32%,34.39,33.72,186200,10/09/18
BANC,"First Pactrust Bancorp",18.75,-0.01,-0.05%,18.92,18.69,394700,10/09/18
BANR,"Banner Corp",61.66,-0.27,-0.44%,62.02,61.35,132100,10/09/18
