Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BCC,"Boise Cascade L.L.C.",33.19,-1.75,-5.01%,35.01,33.03,366000,10/09/18
BCEI,"Bonanza Creek Energy Inc",29.44,0.14,+0.48%,30.03,28.95,217300,10/09/18
BCOR,"Blucora Inc",36.03,-0.35,-0.96%,36.98,35.04,983200,10/09/18
BCPC,"Balchem Cp",104.08,-0.95,-0.90%,105.82,103.83,123700,10/09/18
BEAT,"Biotelemetry Inc",53.6,-0.37,-0.69%,55.22,52.6,437400,10/09/18
BEL,"Belmond Ltd",17.79,-0.28,-1.55%,18.27,17.66,563600,10/09/18
BELFB,"Bel Fuse Inc Cl B",24.79,0.15,+0.61%,25.25,24.53,17300,10/09/18
BFS,"Saul Centers",52.47,-0.16,-0.30%,53.82,52.19,67100,10/09/18
BGFV,"Big 5 Sporting",5.22,0.02,+0.38%,5.45,5.19,443100,10/09/18
BGG,"Briggs & Stratton Corp",18.73,-0.08,-0.43%,19.13,18.59,212300,10/09/18
BGS,"B&G Foods Holdings",26.13,-0.66,-2.46%,27,26.08,647200,10/09/18
BHE,"Benchmark Electronics",23.26,0.05,+0.22%,23.42,22.81,430100,10/09/18
BHLB,"Berkshire Hills Bancorp",41,0.27,+0.66%,41.09,40.55,149000,10/09/18
BJRI,"Bj's Restaurants Inc",69.21,1.21,+1.78%,69.65,67.82,447600,10/09/18
BKE,"Buckle Inc",21.43,0.31,+1.47%,22.12,21.06,998700,10/09/18
BKS,"Barnes & Noble",7.2,0.18,+2.56%,7.33,6.96,2779900,10/09/18
BLD,"Topbuild Corp",52.52,-2.23,-4.07%,54.87,52.37,286100,10/09/18
BMI,"Badger Meter",51.03,-0.51,-0.99%,51.7,50.9,101700,10/09/18
BNED,"Barnes & Noble Education Inc C",5.88,0.14,+2.44%,5.93,5.66,243300,10/09/18
BPFH,"Boston Pvt Finl Hldg",14.2,-0.05,-0.35%,14.29,14.09,560600,10/09/18
BRC,"Brady Corp",41.9,-0.36,-0.85%,42.18,41.49,201300,10/09/18
BRKL,"Brookline Bancorp",16.97,0.09,+0.53%,17.05,16.77,262500,10/09/18
BRKS,"Brooks Automation",32.08,0.05,+0.16%,32.17,31.33,614200,10/09/18
BRS,"Bristow Group Inc",12.61,0.59,+4.91%,12.83,12.03,440300,10/09/18
CACI,"Caci International",183.9,0.05,+0.03%,186.39,183.24,170100,10/09/18
CAL,"Caleres Inc",34.36,0.7,+2.08%,34.56,33.66,274500,10/09/18
CALM,"Cal-Maine Foods In",45.01,0.23,+0.51%,45.6,44.51,470900,10/09/18
CAMP,"Calamp Corp",20.39,0.09,+0.44%,20.7,20.26,605500,10/09/18
CASH,"Meta Financial Grp",27.2,-0.14,-0.51%,27.39,27,202600,10/09/18
CATM,"Cardtronics Inc",34.2,1.29,+3.92%,34.51,33.07,527000,10/09/18
CATO,"Cato Corp",19.08,0.46,+2.47%,19.38,18.53,250700,10/09/18
CBB,"Cincinnati Bell Inc",15.44,0.11,+0.72%,15.62,15.29,254200,10/09/18
CBL,"Cbl & Associates Properties",3.8,-0.03,-0.78%,3.87,3.78,2232800,10/09/18
CBM,"Cambrex Corp",63.12,-0.7,-1.10%,64.11,62.96,211300,10/09/18
CBU,"Community Bank System",61.83,0.08,+0.13%,62.33,61.44,208300,10/09/18
CCMP,"Cabot Microelectron",97.75,-1.24,-1.25%,99.83,97.15,197000,10/09/18
CCOI,"Cogent Comm Hldgs",51.59,-1.02,-1.94%,53.13,51.5,333300,10/09/18
CCRN,"Cross Ctry Hlthcr",8.65,0.28,+3.35%,8.79,8.35,250500,10/09/18
CDR,"Cedar Shopping Centers Inc",4.32,0.06,+1.41%,4.38,4.23,367000,10/09/18
CECO,"Career Education",14.44,0.02,+0.14%,14.8,14.39,289600,10/09/18
CEIX,"Consol Energy Inc",40.65,0.15,+0.37%,41.31,40.29,300900,10/09/18
CENT,"Central Garden",35.19,-0.78,-2.17%,35.98,35.13,52900,10/09/18
CENTA,"Central Garden & Pet",32.02,-0.54,-1.66%,32.77,31.95,220900,10/09/18
CENX,"Century Aluminum C",10.82,0.08,+0.74%,11.16,10.42,2187100,10/09/18
CEVA,"Ceva Inc",25.74,0.59,+2.35%,26.04,25.01,124100,10/09/18
CHCO,"City Holding Co",76.81,0.17,+0.22%,77.28,76.26,45600,10/09/18
CHCT,"Community Healthcare Trust Inc",30.21,0.33,+1.10%,30.32,29.86,49700,10/09/18
CHS,"Chico's Fas",7.8,-0.07,-0.89%,8,7.74,2400400,10/09/18
CHSP,"Chesapeake Lodging Trust",31.69,-0.27,-0.84%,32.05,31.44,306200,10/09/18
CHUY,"Chuy's Holdings Inc",27.01,0.4,+1.50%,27.58,26.03,199700,10/09/18
CIR,"Circor International",44.92,-0.99,-2.16%,45.96,44.8,103400,10/09/18
CJ,"C&J Energy Services Inc",22.2,0.27,+1.23%,22.73,21.84,786000,10/09/18
CKH,"Seacor Smit Inc",49.04,1.39,+2.92%,49.55,47.55,94300,10/09/18
CLD,"Cloud Peak Energy Inc",2.43,-0.04,-1.62%,2.53,2.42,352700,10/09/18
CLDT,"Chatham Lodging Trust [Reit]",20.33,-0.06,-0.29%,20.5,20.31,273100,10/09/18
CLW,"Clearwater Paper Corp",28.32,-0.45,-1.56%,29.36,28.3,133700,10/09/18
CMO,"Capstead Mortgage Corp",7.66,0.01,+0.13%,7.68,7.62,539500,10/09/18
CMTL,"Comtech Telecom Co",33.19,0.23,+0.70%,34.01,32.99,143700,10/09/18
CNMD,"C O N M E D Cp",73.28,-0.32,-0.43%,74.05,72.86,282200,10/09/18
CNSL,"Consolidated Communications Holdings Inc",13.49,0.17,+1.28%,13.52,13.31,622800,10/09/18
COHU,"Cohu Inc",22.12,-0.37,-1.65%,22.42,21.92,438500,10/09/18
COKE,"Coca Cola Bot Cons",168.46,0.48,+0.29%,171,168.25,25000,10/09/18
COLB,"Columbia Banking Sys",38.67,-0.32,-0.82%,39.18,38.63,395500,10/09/18
CORE,"Core Mark Holding",34.77,0.72,+2.11%,34.87,33.96,271700,10/09/18
CORT,"Corcept Therapeutics",13.71,0.41,+3.08%,13.73,13.19,719700,10/09/18
CPF,"Central Pacific Financial Co",26.84,0.21,+0.79%,26.99,26.54,163600,10/09/18
CPS,"Cooper Std Hldg Inc",103.31,-6.44,-5.87%,109.53,102.97,195800,10/09/18
CPSI,"Computer Programs",27.06,0.25,+0.93%,27.25,26.77,70400,10/09/18
CRAY,"Cray Inc",20.15,0.14,+0.70%,20.29,19.56,369000,10/09/18
CROX,"Crocs Inc",19.43,0.13,+0.67%,19.65,19.25,929400,10/09/18
CRR,"Carbo Ceramics",7.3,-0.06,-0.82%,7.54,7.25,207800,10/09/18
CRVL,"Corvel Cp",57.88,0.67,+1.17%,58.5,57.22,35700,10/09/18
CRY,Cryolife,30.41,-0.07,-0.23%,31.05,30.14,165000,10/09/18
CRZO,"Carrizo Oil & Gas",23.95,0.3,+1.27%,24.43,23.55,1927400,10/09/18
CSGS,"C S G Sys Intl",38.16,-0.12,-0.31%,38.59,37.98,127600,10/09/18
CTB,"Cooper Tire & Rubber Company",26.25,-0.37,-1.39%,26.65,26.13,1042600,10/09/18
CTRE,"Caretrust REIT Inc",17.6,0.22,+1.27%,17.66,17.33,438700,10/09/18
CTRL,"Control4 Corp",30.34,-0.53,-1.72%,31.38,30.05,781300,10/09/18
CTS,"Cts Corp",31.33,-0.36,-1.14%,31.66,31.26,191300,10/09/18
CUB,"Cubic Corp",69.93,-0.07,-0.10%,70.33,69.17,174200,10/09/18
CUBI,"Customers Bancorp",23.52,-0.28,-1.18%,23.95,23.39,224300,10/09/18
CUTR,"Cutera Inc",22,0.56,+2.61%,22.66,21.48,235500,10/09/18
CVBF,"Cvb Financial Corp",22.4,0.04,+0.18%,22.48,22.21,524700,10/09/18
CVCO,"Cavco Inds Inc",224.83,-5.48,-2.38%,233.09,224.27,47700,10/09/18
CVGW,"Calavo Growers Inc",98.63,0.01,+0.01%,99.67,98,89600,10/09/18
CWT,"California Water Service Group Holding",42.59,0.26,+0.61%,42.91,42.27,199100,10/09/18
CYH,"Community Health Systems",2.98,0.15,+5.30%,3.1,2.81,2048000,10/09/18
CYTK,Cytokinetics,7.87,-0.34,-4.14%,8.39,7.81,271300,10/09/18
DAKT,"Daktronics Inc",7.48,0.11,+1.49%,7.54,7.36,176200,10/09/18
DAR,"Darling International Inc",19.15,-0.48,-2.45%,19.72,19.12,882000,10/09/18
DBD,"Diebold Nixdorf Inc",4.25,-0.18,-4.06%,4.45,4.14,1130200,10/09/18
DCOM,"Dime Community Bncsh",18.33,-0.37,-1.98%,18.91,18.31,277400,10/09/18
DDD,"3D Systems Corp",17.77,-0.08,-0.45%,18.19,17.58,887100,10/09/18
DEA,"Easterly Government Properties",18.55,0.03,+0.16%,18.65,18.46,417100,10/09/18
DF,"Dean Foods Company",7.38,0.02,+0.27%,7.51,7.31,1218600,10/09/18
DFIN,"Donnelly Financial Solutions Inc",17.14,-0.12,-0.70%,17.47,17.09,152200,10/09/18
DGII,"Digi Intl Inc",12.59,0.17,+1.37%,12.78,12.3,70900,10/09/18
DIN,"Dineequity Inc",77.98,0.15,+0.19%,80.36,76.98,223500,10/09/18
DIOD,"Diodes Inc",31.07,0.39,+1.27%,31.28,30.5,417100,10/09/18
DNR,"Denbury Resources",6.51,0.16,+2.52%,6.75,6.41,12281100,10/09/18
DORM,"Dorman Products Inc",71.95,0.31,+0.43%,72.24,70.94,170800,10/09/18
DPLO,"Diplomat Pharmacy Inc",19.51,0,0.00%,19.86,19.26,540600,10/09/18
DRH,"Diamondrock Hospitality Company",11.22,-0.18,-1.58%,11.43,11.17,2371600,10/09/18
DSPG,"D S P Group Inc",11.6,-0.15,-1.28%,11.89,11.57,42900,10/09/18
DSW,"DSW Inc",32.68,0.33,+1.02%,32.89,32.27,1332500,10/09/18
DXPE,"Dxp Enterprise",38.71,0.32,+0.83%,39.68,38.25,90600,10/09/18
EBIX,"Ebix Inc",63.41,5.31,+9.14%,63.71,60.02,1573500,10/09/18
EBS,"Emergent Biosolutions",64.84,-0.1,-0.15%,65.26,64.24,321100,10/09/18
ECHO,"Echo Global Logistic",29.13,-0.28,-0.95%,29.74,28.89,377200,10/09/18
ECOL,"US Ecology Inc",68.63,-0.35,-0.51%,69.96,68.46,116300,10/09/18
ECPG,"Encore Capital Grp",32.22,-0.38,-1.17%,32.65,31.94,371900,10/09/18
EE,"El Paso Electric Company",59.42,0.27,+0.46%,59.83,58.8,264200,10/09/18
EFII,"Elec Imaging Inc",32.7,-0.07,-0.21%,32.92,32.3,392400,10/09/18
EGHT,"8X8 Inc",18.93,-0.54,-2.77%,19.66,18.89,821800,10/09/18
EGL,"Engility Holdings Inc",33.74,0.01,+0.03%,34.08,33.55,151400,10/09/18
EGOV,"Nic Inc",14.3,-0.01,-0.07%,14.49,14.11,377200,10/09/18
EGP,"Eastgroup Properties",95.14,0.75,+0.79%,95.38,93.84,129000,10/09/18
EGRX,"Eagle Pharmaceutical",62.97,-0.46,-0.73%,64.71,62.31,213700,10/09/18
EHTH,"Ehealth Inc",30.81,0.99,+3.32%,31.22,29.82,133100,10/09/18
EIG,"Employers Holdings Inc",45.18,0.48,+1.07%,45.34,44.53,107700,10/09/18
ELY,"Callaway Golf Company",23.18,0.08,+0.35%,23.43,23.07,1108400,10/09/18
ENDP,"Endo Int'l Plc",17.6,0.51,+2.98%,17.84,16.82,6041900,10/09/18
ENSG,"The Ensign Group In",40,1.9,+4.99%,40,37.95,258600,10/09/18
ENTA,"Enanta Pharmaceutica",77.96,0.56,+0.72%,79.1,77.09,209900,10/09/18
ENVA,"Enova International Inc",26.1,-0.11,-0.42%,26.58,25.9,256900,10/09/18
EPAY,"Bottomline Tech In",67.99,0.01,+0.01%,69.19,67.12,393000,10/09/18
ERA,"Era Group Inc",12.54,0.31,+2.53%,12.84,12.23,53600,10/09/18
ESE,"Esco Technologies Inc",64.78,-0.42,-0.64%,65.84,64.51,116700,10/09/18
ESIO,"Electro Sci Inds",15.82,0.13,+0.83%,15.83,15.4,544800,10/09/18
ESND,"Essendant Inc",12.72,-0.06,-0.47%,12.82,12.71,261300,10/09/18
ETH,"Ethan Allen Interiors Inc",19.27,-0.79,-3.94%,19.86,19.19,439900,10/09/18
EVTC,"Evertec Inc",23.65,0.73,+3.18%,23.69,22.76,452700,10/09/18
EXLS,"Exlservice Holdings",64.69,0.1,+0.15%,65.91,64.24,218700,10/09/18
EXPO,"Exponent Inc",51.1,0.34,+0.67%,51.58,50.51,210400,10/09/18
EXPR,"Express Inc",9.15,-0.06,-0.65%,9.44,9.14,1864700,10/09/18
EXTN,"Exterran Corp",27.68,1.01,+3.79%,27.8,25.93,179500,10/09/18
EXTR,"Extreme Networks",5.08,-0.09,-1.74%,5.24,4.95,1764100,10/09/18
EZPW,"Ezcorp Inc",10.65,0,0.00%,10.77,10.6,313000,10/09/18
FARO,"Faro Tech Inc",58.23,-0.32,-0.55%,59.62,58.21,81700,10/09/18
FBP,"First Bancorp",9.24,0.1,+1.09%,9.26,9.1,2582200,10/09/18
FCF,"First Commonwealth Financial Corp",16.21,0.02,+0.12%,16.28,16.08,372900,10/09/18
FCFS,"First Cash Fin Svcs",76.83,-1.34,-1.71%,78.67,76.43,316400,10/09/18
FCN,"Fti Consulting",71.59,0.05,+0.07%,73.55,71.22,416700,10/09/18
FCPT,"Four Corners Property Trust In",25.82,0.21,+0.82%,25.97,25.55,338200,10/09/18
FELE,"Franklin Electric Co",45.84,-0.62,-1.33%,46.53,45.79,167000,10/09/18
FF,"Futurefuel Corp",16.82,-0.79,-4.49%,17.57,16.56,201800,10/09/18
FFBC,"First Finl Bncp [Oh]",29.54,0.05,+0.17%,29.68,29.31,381800,10/09/18
FFIN,"First Finl Bkshs Inc",59.79,0.12,+0.20%,60.29,59.36,213200,10/09/18
FIX,"Comfort Systems USA",54.24,0.25,+0.46%,54.56,53.8,427700,10/09/18
FLOW,"SPX Flow Inc",48.46,-1.17,-2.36%,49.6,48.23,184700,10/09/18
FMBI,"First Midwest Bncp",27,-0.01,-0.04%,27.19,26.87,302800,10/09/18
FN,Fabrinet,44.06,-0.48,-1.08%,45.13,43.95,385000,10/09/18
FNSR,"Finisar Corp",17.39,-0.48,-2.69%,17.86,17.37,2296300,10/09/18
FORM,"Formfactor Inc",12.25,-0.05,-0.41%,12.43,12.1,335300,10/09/18
FORR,"Forrester Resrch",44.15,0.31,+0.71%,44.56,43.43,15400,10/09/18
FOSL,"Fossil Group",21.33,-0.31,-1.43%,22.25,20.67,957700,10/09/18
FOXF,"Fox Factory Cp",64.25,-0.81,-1.25%,65.49,63.69,232600,10/09/18
FRAN,"Francesca's Holdings",3.47,-0.07,-1.98%,3.61,3.46,566500,10/09/18
FRGI,"Fiesta Restaurant Gp",29.82,0.72,+2.47%,29.93,29.1,244500,10/09/18
FSB,"Franklin Financial Network Inc",39.49,0.43,+1.10%,39.69,38.51,81000,10/09/18
FSP,"Franklin Street Properties",7.84,0.07,+0.90%,7.84,7.71,315200,10/09/18
FSS,"Federal Signal Corp",25.84,-0.11,-0.42%,26.04,25.61,267800,10/09/18
FTK,"Flotek Industries",2.28,0.01,+0.44%,2.38,2.23,643300,10/09/18
FTR,"Frontier Commun Cp",7.05,0.15,+2.17%,7.08,6.85,2169000,10/09/18
FUL,"H. B. Fuller Company",48.79,-2.45,-4.78%,50.93,48.74,424900,10/09/18
FWRD,"Foward Air Corp",66.85,-0.56,-0.83%,67.91,66.72,179800,10/09/18
GBCI,"Glacier Bancorp Inc",44.35,0.41,+0.93%,44.51,43.78,564900,10/09/18
GBX,"Greenbrier Companies",64.4,0.95,+1.50%,64.8,62.8,615800,10/09/18
GCI,"Gannett Co. Inc",9.83,-0.58,-5.57%,10.45,9.68,1611800,10/09/18
GCO,"Genesco Inc",43.66,-0.09,-0.21%,44.36,43.3,267000,10/09/18
GDOT,"Green Dot Corp",81.24,-0.42,-0.51%,82.6,80.34,272300,10/09/18
GEOS,"Geospace Technologie",13.5,0.4,+3.05%,13.69,13.1,26000,10/09/18
GES,"Guess Inc",21.35,-0.05,-0.23%,21.96,21.27,483600,10/09/18
GFF,"Griffon Corp",15.71,-0.04,-0.25%,16.34,15.58,176400,10/09/18
GHL,"Greenhill & Co. Inc",27.93,1.01,+3.75%,28.09,26.81,664400,10/09/18
GIFI,"Gulf Island Fab",9.98,-0.02,-0.20%,10.16,9.94,27600,10/09/18
GIII,"G-III Apparel Gp I",39.09,-1.19,-2.95%,41.06,38.87,738300,10/09/18
GLT,Glatfelter,18.66,-0.87,-4.45%,19.42,18.65,233800,10/09/18
GME,"Gamestop Corp",14.76,-0.22,-1.47%,15.45,14.7,2405700,10/09/18
GNBC,"Green Bancorp",23.53,-0.6,-2.49%,24.21,23.48,193900,10/09/18
GNL,"Global Net Lease Inc",20.13,-0.01,-0.05%,20.35,20.06,460300,10/09/18
GOV,"Government Properties Income Trust",10.49,0.03,+0.29%,10.69,10.35,2594500,10/09/18
GPI,"Group 1 Automotive",58.65,-0.96,-1.61%,60.24,58.1,309400,10/09/18
GPMT,"Granite Point Mortgage Trust Inc",18.61,-0.08,-0.43%,18.8,18.55,355200,10/09/18
GPRE,"Green Plains Inc",17.57,-0.9,-4.87%,18.89,17.5,1398600,10/09/18
GTLS,"Chart Industries In",70.67,-2.16,-2.97%,72.83,70.58,521100,10/09/18
GTY,"Getty Realty Corp",28.7,0.45,+1.59%,28.74,28.24,121400,10/09/18
GWB,"Great Western Bancorp Inc",42.25,-0.27,-0.63%,42.77,42.17,291300,10/09/18
HA,"Hawaiian Hldgs Inc",34.68,-1.7,-4.67%,36.21,34.57,931300,10/09/18
HAFC,"Hanmi Financial Cp",24.39,-0.02,-0.08%,24.42,24.19,157300,10/09/18
HAYN,"Haynes Intl Inc",34.09,0.02,+0.06%,34.72,33.98,49000,10/09/18
HCI,"Homeowners Choice",45.2,0.08,+0.18%,45.62,44.19,73200,10/09/18
HF,"HFF Inc",39.31,0.06,+0.15%,39.62,38.66,248700,10/09/18
HFWA,"Heritage Financial",35.21,-0.01,-0.03%,35.34,34.96,167200,10/09/18
HI,"Hillenbrand Inc",52.01,-0.31,-0.59%,52.68,51.9,302200,10/09/18
HIBB,"Hibbett Sports Inc",18.18,0,0.00%,18.76,18.05,696200,10/09/18
HLIT,"Harmonic Inc",5.55,-0.16,-2.80%,5.8,5.47,271800,10/09/18
HLX,"Helix Energy Solutions Group",10.78,0.47,+4.56%,10.89,10.37,2062400,10/09/18
HMN,"Horace Mann Educators Corp",43.93,0.08,+0.18%,44.16,42.43,139800,10/09/18
HMST,"Homestreet Inc",26.84,-0.12,-0.45%,27.29,26.77,76500,10/09/18
HMSY,"Hms Hldgs Cp",31.5,-0.08,-0.25%,31.83,31.32,419700,10/09/18
HOPE,"Hope Bancorp Inc",16.38,-0.12,-0.73%,16.5,16.31,1283300,10/09/18
HPR,"Highpoint Resources Corp",4.54,0.12,+2.71%,4.61,4.39,1930300,10/09/18
HSC,"Harsco Corp",26.59,0,0.00%,26.85,26.16,498700,10/09/18
HSII,"Heidrick & Struggl",31.12,0.11,+0.35%,31.53,30.93,403200,10/09/18
HSKA,"Heska Corp",97.88,1.08,+1.12%,98.63,95.52,50600,10/09/18
HSTM,"Healthstream Inc",29.31,0.14,+0.48%,29.58,28.83,146500,10/09/18
HT,"Hersha Hospitality Trust",21.42,0.03,+0.14%,21.58,21.19,236200,10/09/18
HTLD,"Heartland Express",18.47,0.12,+0.65%,18.84,18.35,561900,10/09/18
HUBG,"Hub Group Inc A",44.24,-0.73,-1.62%,45.84,44.16,298400,10/09/18
HVT,"Haverty Furniture Companies",21.57,0.32,+1.51%,21.88,21.28,108000,10/09/18
HWKN,"Hawkins Inc",38.55,-0.42,-1.08%,39.36,38.46,17000,10/09/18
HZO,"Marinemax Inc",20.16,-0.01,-0.05%,20.57,20.11,170700,10/09/18
IBP,"Installed Building Products I",37.18,-1.06,-2.77%,38.29,37.14,315100,10/09/18
ICHR,"Ichor Holdings Ltd",18.77,-1.06,-5.35%,20,18.66,760400,10/09/18
IIIN,"Insteel Industries",34.1,-0.06,-0.18%,34.4,33.92,140500,10/09/18
IIVI,"I I V I Inc",39.21,-0.69,-1.73%,40.49,38.85,687600,10/09/18
INDB,"Independent Bk Corp",84.2,-0.19,-0.23%,84.83,84,123300,10/09/18
INN,"Summit Hotel Properties",13.12,-0.07,-0.53%,13.25,13.06,358300,10/09/18
INTL,"Intl Fcstone Inc",46.46,-0.12,-0.26%,46.73,46.01,59100,10/09/18
INVA,"Innoviva Inc",15.34,-0.02,-0.13%,15.53,15.14,512400,10/09/18
IOSP,"Innospec Inc",72.13,-1.08,-1.48%,73.79,71.84,71000,10/09/18
IPAR,"Inter Parfums Inc",60.15,-0.25,-0.41%,61.11,60.1,73100,10/09/18
IPHS,"Innophos Hldngs Inc",42.71,-0.79,-1.82%,43.57,42.62,52200,10/09/18
IRBT,"Irobot Corp",94.99,-2.01,-2.08%,97.99,94.8,623000,10/09/18
IRDM,"Iridium Comm Inc",20.46,0.56,+2.81%,20.78,19.6,949500,10/09/18
IRT,"Independence Realty Trust Inc",10.06,-0.04,-0.40%,10.15,10.01,474900,10/09/18
ITG,"Investment Technology Group",27.57,-0.24,-0.86%,27.93,27.13,492300,10/09/18
ITGR,"Integer Holdings Corp",76.23,-1.46,-1.88%,78.71,75.75,218400,10/09/18
ITRI,"Itron Inc",58.25,-0.63,-1.07%,59.07,58.01,214900,10/09/18
IVC,"Invacare Corp",13.96,-0.24,-1.69%,14.6,13.9,536700,10/09/18
IVR,"Invesco Mortgage Capital Inc",15.16,-0.05,-0.33%,15.28,15.16,1216400,10/09/18
