Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MRK,"Merck & Company",72.34,0.88,+1.23%,72.65,70.97,7871200,10/09/18
MRO,"Marathon Oil Corp",22.93,0.05,+0.22%,23.21,22.7,9196000,10/09/18
MS,"Morgan Stanley",46.16,-0.86,-1.83%,46.81,45.94,9999900,10/09/18
MSCI,"MSCI Inc",166.96,-0.86,-0.51%,168.94,166.14,665800,10/09/18
MSFT,"Microsoft Corp",112.26,1.41,+1.27%,113.08,110.8,26198500,10/09/18
MSI,"Motorola Solutions",124.45,0.95,+0.77%,124.73,122.91,727300,10/09/18
MTB,"M&T Bank Corp",169.33,-0.76,-0.45%,170.63,168.12,579700,10/09/18
MTD,"Mettler-Toledo International",590.91,-0.33,-0.06%,593.57,583.47,151600,10/09/18
MU,"Micron Technology",42.27,-0.8,-1.86%,43.04,41.98,31576299,10/09/18
MYL,"Mylan Nv Ord Shs",34.61,-0.7,-1.98%,35.18,33.09,14016199,10/09/18
NBL,"Noble Energy Inc",32.52,0.56,+1.75%,32.73,31.84,2490500,10/09/18
NCLH,"Norwegian Cruise Ord",53.97,-0.31,-0.57%,54.41,53.83,790600,10/09/18
NDAQ,"Nasdaq Inc",84.45,-0.49,-0.58%,84.99,83.41,658400,10/09/18
NEE,"Nextera Energy",173.73,0.41,+0.24%,174.47,172.6,1470300,10/09/18
NEM,"Newmont Mining Corp",30.11,-0.41,-1.34%,30.54,29.94,4048700,10/09/18
NFLX,"Netflix Inc",355.71,6.61,+1.89%,358.72,347.09,8754899,10/09/18
NFX,"Newfield Exploration Company",28.12,0.18,+0.64%,28.52,27.8,2579900,10/09/18
NI,"NiSource Inc",24.99,-0.06,-0.24%,25.3,24.93,2543200,10/09/18
NKE,"Nike Inc",80.42,0.19,+0.24%,81.49,80.16,7643600,10/09/18
NKTR,"Nektar Therapeutics",51.96,0.2,+0.39%,52.59,51.41,1351900,10/09/18
NLSN,"Nielsen Holdings Plc",26.89,0,0.00%,27.33,26.75,3259200,10/09/18
NOC,"Northrop Grumman Corp",314.2,-4.8,-1.50%,318.14,314.07,873600,10/09/18
NOV,National-Oilwell,45.45,1.11,+2.50%,46.17,44.17,5410200,10/09/18
NRG,"NRG Energy",37.42,0.13,+0.35%,37.6,37.08,2832600,10/09/18
NSC,"Norfolk Southern Corp",181.69,-2.3,-1.25%,184.75,181.48,1307600,10/09/18
NTAP,"Netapp Inc",79.73,-0.36,-0.45%,80.94,79.27,2584400,10/09/18
NTRS,"Northern Trust Corp",105.53,-1.19,-1.12%,106.4,105.18,806400,10/09/18
