Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AMG,"Affiliated Managers Group",131.27,-2.28,-1.71%,133.02,130.52,462200,10/09/18
AMGN,"Amgen Inc",206,0.43,+0.21%,208.08,204.49,2509100,10/09/18
AMP,"Ameriprise Financial Services",149.02,-2,-1.32%,150.37,147.61,772700,10/09/18
AMT,"American Tower Corp",147.65,1.86,+1.28%,147.89,145.37,1782200,10/09/18
AMZN,"Amazon.com Inc",1870.32,5.9,+0.32%,1896.68,1852.32,4772800,10/09/18
ANET,"Arista Networks Inc",238.65,-4.56,-1.87%,244.99,235.53,1160300,10/09/18
ANSS,"Ansys Inc",165.84,-2.43,-1.44%,170.45,164.65,771800,10/09/18
ANTM,"Anthem Inc",279.18,1.79,+0.65%,280.43,275.22,923800,10/09/18
AON,"AON Plc",157.12,0.91,+0.58%,157.53,155.09,647600,10/09/18
AOS,"Smith [A.O.] Corp",49.86,-1.91,-3.69%,51.86,49.8,1723600,10/09/18
APA,"Apache Corp",49.3,1.3,+2.71%,50.03,48.19,4394100,10/09/18
APC,"Anadarko Petroleum Corp",70.61,1.34,+1.93%,71.11,69.36,3586500,10/09/18
APD,"Air Products and Chemicals",164.32,-4.96,-2.93%,168.62,163.8,1051000,10/09/18
APH,"Amphenol Corp",90.19,0.89,+1.00%,90.59,89.42,2080400,10/09/18
APTV,"Aptiv Plc",76.56,-3.14,-3.94%,79.96,76.12,3782800,10/09/18
ARE,"Alexandria Real Estate Equities",125.96,0.61,+0.49%,126,123.9,811500,10/09/18
ARNC,"Arconic Inc",22.84,-0.56,-2.39%,23.45,22.58,4624500,10/09/18
ATVI,"Activision Blizzard",77.64,0.01,+0.01%,78.85,76.62,4617800,10/09/18
AVB,"Avalonbay Communities",181.13,1.8,+1.00%,181.28,178.14,556600,10/09/18
AVGO,"Broadcom Ltd",244.7,3.33,+1.38%,245.73,240.37,2467500,10/09/18
AVY,"Avery Dennison Corp",104.72,-2.19,-2.05%,106.63,104.51,581200,10/09/18
AWK,"American Water Works",90.57,0.64,+0.71%,90.68,89.72,781800,10/09/18
AXP,"American Express Company",106.66,-0.33,-0.31%,106.93,105.93,2604300,10/09/18
AZO,Autozone,782.59,-5.88,-0.75%,794.68,781.89,267300,10/09/18
BA,"Boeing Company",385.44,-0.33,-0.09%,386.82,381.14,2862700,10/09/18
BAC,"Bank of America Corp",29.98,-0.29,-0.96%,30.19,29.87,58868598,10/09/18
BAX,"Baxter International Inc",72.98,-0.35,-0.48%,73.53,72.71,3180100,10/09/18
BBT,"BB&T Corp",49.43,-0.31,-0.62%,49.67,49.22,3405600,10/09/18
BBY,"Best Buy Co",71.34,-0.04,-0.06%,72.94,70.77,4040800,10/09/18
BDX,"Becton Dickinson and Company",250.5,0.13,+0.05%,252.26,248.59,601700,10/09/18
BEN,"Franklin Resources",30.56,-0.38,-1.23%,30.88,30.3,2846500,10/09/18
BF.B,"Brown Forman Inc Cl B",50.17,0.43,+0.86%,50.38,49.57,1092400,10/09/18
BHF,"Brighthouse Financial Inc",45.77,-0.55,-1.19%,46.45,45.5,664000,10/09/18
BHGE,"Baker Hughes A Ge Co. Cl. A",32.63,0.74,+2.32%,32.99,31.75,2625800,10/09/18
BIIB,"Biogen Inc",344.57,1.54,+0.45%,346.42,341.15,778800,10/09/18
BK,"Bank of New York Mellon Corp",52.23,-0.55,-1.04%,52.52,51.97,3695900,10/09/18
BKNG,"Booking Holdings Inc",1870.5,-30.4,-1.60%,1915.66,1869.21,327800,10/09/18
BLK,Blackrock,459.71,-11.75,-2.49%,470.98,459.08,875400,10/09/18
BLL,"Ball Corp",45.72,-0.63,-1.36%,46.24,45.69,4262400,10/09/18
BMY,"Bristol-Myers Squibb Company",63.23,0.33,+0.52%,63.69,62.47,6618800,10/09/18
BR,"Broadridge Financial Solutions Llc",125.59,0.43,+0.34%,126.04,123.1,720400,10/09/18
BRK.B,"Berkshire Hath Hld Cl B",223.76,1.7,+0.77%,223.94,221.01,4516400,10/09/18
BSX,"Boston Scientific Corp",37.41,0.11,+0.29%,37.58,37.11,6492100,10/09/18
BWA,"Borgwarner Inc",40.9,-1.34,-3.17%,42.13,40.75,2632700,10/09/18
BXP,"Boston Properties",120.31,0.55,+0.46%,120.56,118.92,792600,10/09/18
C,"Citigroup Inc",71.89,-0.7,-0.96%,72.7,71.41,15654400,10/09/18
CA,"CA Inc",44,0.03,+0.07%,44.09,44,2244900,10/09/18
CAG,"Conagra Brands Inc",35.57,0.92,+2.66%,35.76,34.51,10054700,10/09/18
CAH,"Cardinal Health",54.38,-0.06,-0.11%,54.55,53.36,1834900,10/09/18
CAT,"Caterpillar Inc",149.46,-3.89,-2.54%,152.61,149.08,4996900,10/09/18
CB,"Chubb Ltd",136.59,0.43,+0.32%,136.9,134.26,1414800,10/09/18
CBOE,"CBOE Global Markets Inc",101.4,1.48,+1.48%,101.97,98.77,1204600,10/09/18
CBRE,"CBRE Group Inc",41.2,-0.86,-2.04%,42.27,41.03,4106700,10/09/18
CBS,"CBS Corp",57.38,0.33,+0.58%,58.53,56.67,4638100,10/09/18
CCI,"Crown Castle International Corp",111.07,0.8,+0.73%,112.07,110.19,2330300,10/09/18
CCL,"Carnival Corp",60.52,-0.57,-0.93%,61.23,60.19,3078000,10/09/18
CDNS,"Cadence Design Sys",41.31,-0.1,-0.24%,41.86,40.97,1528900,10/09/18
CELG,"Celgene Corp",86.76,-0.73,-0.83%,87.73,86.27,3293200,10/09/18
CERN,"Cerner Corp",63.57,-0.15,-0.24%,64.08,63.35,877800,10/09/18
CF,"Cf Industries Holdings",54.81,-0.52,-0.94%,55.92,54.66,1828500,10/09/18
CFG,"Citizens Financial Group Inc/Ri",38.97,-0.26,-0.66%,39.35,38.84,3448200,10/09/18
CHD,"Church & Dwight Company",59.42,-0.38,-0.64%,60.16,59.29,968600,10/09/18
CHRW,"C.H. Robinson Ww",96.25,-1.51,-1.54%,98.16,96.15,961500,10/09/18
CHTR,"Charter Communicatio",322.64,2.4,+0.75%,325.89,317.1,760400,10/09/18
CI,"Cigna Corp",214.04,1.14,+0.54%,215.28,211.52,1764000,10/09/18
CINF,"Cincinnati Financial",78.03,0.42,+0.54%,78.26,77.18,305700,10/09/18
CL,"Colgate-Palmolive Company",65.07,-0.28,-0.43%,65.68,65.06,4603200,10/09/18
CLX,"Clorox Company",150.3,0.42,+0.28%,151.48,149.62,672600,10/09/18
CMA,"Comerica Inc",91.92,-0.57,-0.62%,92.54,91.5,729200,10/09/18
CMCSA,"Comcast Corp A",35.44,0.26,+0.74%,35.83,34.99,17407301,10/09/18
CME,"CME Group Inc",181.16,0.25,+0.14%,182.09,179.81,1543700,10/09/18
CMG,"Chipotle Mexican Grill",447.09,-1.47,-0.33%,455.76,446.04,492500,10/09/18
CMI,"Cummins Inc",150.83,-2.01,-1.32%,153.94,149.61,1420200,10/09/18
CMS,"Cms Energy Corp",50.65,0.4,+0.80%,50.98,50.16,1955600,10/09/18
CNC,"Centene Corp",142.99,0.29,+0.20%,143.7,141.86,1372200,10/09/18
CNP,"Centerpoint Energy Inc",28.13,0.18,+0.64%,28.28,27.95,5600300,10/09/18
COF,"Capital One Financial Corp",96,-0.43,-0.45%,96.59,95.47,2081500,10/09/18
COG,"Cabot Oil & Gas Corp",24.41,0.06,+0.25%,25.16,24.09,12247700,10/09/18
COL,"Rockwell Collins",135.14,-3.51,-2.53%,139,134.92,2491000,10/09/18
COO,"Cooper Companies",259.69,-2.58,-0.98%,263.48,258.11,375100,10/09/18
COP,Conocophillips,79.4,1.12,+1.43%,79.96,78.14,4869600,10/09/18
COST,"Costco Wholesale",224.17,0.24,+0.11%,225.15,222.56,2502700,10/09/18
COTY,"Coty Inc",11.83,-0.1,-0.84%,11.99,11.75,4594000,10/09/18
CPB,"Campbell Soup Company",37.52,-0.73,-1.91%,38.32,37.49,2188500,10/09/18
CPRT,"Copart Inc",51.46,0.2,+0.39%,51.51,50.72,2205000,10/09/18
CRM,"Salesforce.com Inc",148.5,-0.15,-0.10%,150.87,147.21,5593300,10/09/18
CSCO,"Cisco Systems Inc",47.49,-0.03,-0.06%,48.03,47.28,17008699,10/09/18
CSX,"CSX Corp",74.61,-0.15,-0.20%,75.34,74.54,5806700,10/09/18
CTAS,"Cintas Corp",195.32,0.86,+0.44%,196.52,194.17,669300,10/09/18
CTL,Centurylink,21.03,-0.23,-1.08%,21.36,20.97,9436601,10/09/18
CTSH,"Cognizant Tech Sol",73.97,-0.14,-0.19%,74.3,73.58,2247900,10/09/18
CTXS,"Citrix Systems Inc",106.46,-0.36,-0.34%,107.82,105.99,1192100,10/09/18
CVS,"CVS Corp",79.49,-0.31,-0.39%,79.89,78.81,3702000,10/09/18
CVX,"Chevron Corp",126.82,1.98,+1.59%,127.44,125.07,6797800,10/09/18
CXO,"Concho Resources Inc",159.96,3.57,+2.28%,160.81,157.09,1365600,10/09/18
D,"Dominion Resources",73.36,0.37,+0.51%,73.88,73.01,3694200,10/09/18
DAL,"Delta Air Lines Inc",50.86,-1.28,-2.45%,52.93,50.76,8284700,10/09/18
DE,"Deere & Company",150.45,-3.37,-2.19%,153.73,150.11,2107300,10/09/18
DFS,"Discover Financial Services",76.59,-0.41,-0.53%,76.91,76.29,1247900,10/09/18
DG,"Dollar General Corp",105.1,-0.25,-0.24%,107.14,104.94,2584100,10/09/18
DGX,"Quest Diagnostics Inc",103.6,0.62,+0.60%,103.84,102.69,1306300,10/09/18
DHI,"D.R. Horton",39.39,-1.26,-3.10%,40.76,39.26,5180000,10/09/18
DHR,"Danaher Corp",106.73,1.12,+1.06%,107.12,105.47,3048500,10/09/18
DIS,"Walt Disney Company",116.89,0.87,+0.75%,117.77,116.04,6761400,10/09/18
DISCA,"Discovery Comm A",32.36,-0.65,-1.97%,33.02,32.32,3269100,10/09/18
DISCK,"Discovery Comm Inc",29.78,-0.45,-1.49%,30.25,29.71,1507000,10/09/18
DISH,"Dish Network Corp",34.17,-0.32,-0.93%,34.76,33.85,2013800,10/09/18
DLR,"Digital Realty Trust",111.71,0.96,+0.87%,111.75,110.27,1320700,10/09/18
DLTR,"Dollar Tree Inc",82.86,0.58,+0.70%,85.46,82.55,5335800,10/09/18
DOV,"Dover Corp",85.66,-1.72,-1.97%,87.14,85.62,1475500,10/09/18
DRE,"Duke Realty Corp",28.62,0.37,+1.31%,28.66,28.1,3117900,10/09/18
DRI,"Darden Restaurants",108.64,0.3,+0.28%,109.34,107.97,1272000,10/09/18
DTE,"Dte Energy Company",113.64,1.05,+0.93%,113.98,112.4,1266200,10/09/18
DUK,"Duke Energy Corp",82.25,0.11,+0.13%,82.69,81.81,4204100,10/09/18
DVA,"Davita Healthcare Partners Inc",74.84,1.54,+2.10%,75.38,73.14,1399100,10/09/18
DVN,"Devon Energy Corp",39.51,0.73,+1.88%,40.02,38.47,7421100,10/09/18
DWDP,"Dowdupont Inc",60.84,-2.32,-3.67%,62.84,60.61,15096199,10/09/18
DXC,"Dxc Technology Company",89.65,-0.43,-0.48%,90.39,89.11,1172000,10/09/18
EA,"Electronic Arts Inc",109.49,-1.13,-1.02%,112.21,109.29,5238500,10/09/18
EBAY,"Ebay Inc",33.28,0.7,+2.15%,34.6,32.29,27415000,10/09/18
ECL,"Ecolab Inc",154.96,-2.41,-1.53%,157.93,154.54,966700,10/09/18
ED,"Consolidated Edison Company of New York",78.23,0.21,+0.27%,78.82,77.75,1897900,10/09/18
EFX,"Equifax Inc",127.3,-0.2,-0.16%,127.91,126.81,739900,10/09/18
EIX,"Edison International",70.45,0.52,+0.74%,71,69.78,2125400,10/09/18
EL,"Estee Lauder Companies",140.33,0.35,+0.25%,141.09,139.44,1253000,10/09/18
EMN,"Eastman Chemical Company",86.81,-4.45,-4.88%,90.4,86.63,2542900,10/09/18
EMR,"Emerson Electric Company",75.98,-1.92,-2.46%,77.9,75.74,3638500,10/09/18
EOG,"Eog Resources",132.35,2.52,+1.94%,133.53,130.1,2454100,10/09/18
EQIX,"Equinix Inc",416.59,-2.35,-0.56%,421.82,414.91,519600,10/09/18
EQR,"Equity Residential",65.55,0.25,+0.38%,65.79,65.06,1661200,10/09/18
EQT,"Eqt Corp",46.39,0.69,+1.51%,46.93,45.68,2476400,10/09/18
ES,"Eversource Energy",63.36,0.53,+0.84%,63.6,62.72,1440800,10/09/18
ESRX,"Express Scripts",96.5,0.9,+0.94%,96.68,95.17,1865300,10/09/18
ESS,"Essex Property Trust",250.35,2.32,+0.94%,250.62,246.22,527700,10/09/18
ETFC,"E*Trade Finl Corp",53.16,0.32,+0.61%,53.44,52.67,2562800,10/09/18
ETN,"Eaton Corp",84.93,-1.74,-2.01%,86.74,84.75,3364500,10/09/18
ETR,"Entergy Corp",83.43,-0.21,-0.25%,84.4,82.84,1177600,10/09/18
EVHC,"Envision Healthcare Holdings",45.98,0.02,+0.04%,45.99,45.97,5093700,10/09/18
EVRG,"Evergy Inc",56.38,0.26,+0.46%,56.75,56,1290800,10/09/18
EW,"Edwards Lifesciences Corp",147.94,0.79,+0.54%,149.82,146.3,2104100,10/09/18
EXC,"Exelon Corp",44.02,0.01,+0.02%,44.36,43.63,5522200,10/09/18
EXPD,"Expeditors Intl",71.21,-1.12,-1.55%,72.2,71.15,751600,10/09/18
EXPE,"Expedia Group Inc",121.36,-1.23,-1.00%,123.43,121.14,1306800,10/09/18
EXR,"Extra Space Storage Inc",87.1,1.06,+1.23%,87.15,85.45,870800,10/09/18
F,"Ford Motor Company",8.95,-0.31,-3.35%,9.31,8.95,58356898,10/09/18
FAST,"Fastenal Co",55.64,-1.04,-1.83%,57.01,55.64,5444200,10/09/18
FB,"Facebook Inc",157.9,0.65,+0.41%,160.59,157.42,18844400,10/09/18
FBHS,"Fortune Brands Home & Security",49.97,-1.77,-3.42%,51.85,49.9,1459400,10/09/18
FCX,"Freeport-Mcmoran Inc",13.18,-0.11,-0.83%,13.38,12.98,11831101,10/09/18
FDX,"Fedex Corp",229.75,-5.24,-2.23%,234.75,229.15,1668600,10/09/18
FE,"Firstenergy Corp",38.35,0.3,+0.79%,38.52,37.98,3127900,10/09/18
FFIV,"F5 Networks Inc",176.83,-2.18,-1.22%,180.65,176.37,714400,10/09/18
FIS,"Fidelity National Information Services",107.81,0.52,+0.48%,108.23,106.85,1447500,10/09/18
FISV,"Fiserv Inc",80.76,0.15,+0.19%,81.5,80.29,1229700,10/09/18
FITB,"Fifth Third Bncp",28.46,-0.21,-0.73%,28.61,28.23,5193400,10/09/18
FL,"Footlocker Inc",49.08,0.1,+0.20%,49.84,48.76,2400600,10/09/18
FLIR,"Flir Systems Inc",58.35,-0.27,-0.46%,58.93,58.11,559600,10/09/18
FLR,"Fluor Corp",58.71,-0.62,-1.05%,59.44,58.63,1302900,10/09/18
FLS,"Flowserve Corp",53.42,-0.25,-0.47%,53.71,52.97,599400,10/09/18
FLT,"Fleetcor Technologies",215.16,-1.65,-0.76%,217.15,213.81,442000,10/09/18
FMC,"FMC Corp",86.99,-3.67,-4.05%,90.12,86.5,1872300,10/09/18
FOX,"21st Centry Fox Class B",45.26,-0.21,-0.46%,45.66,45.13,4232900,10/09/18
FOXA,"21st Centry Fox Class A",45.5,-0.22,-0.48%,45.9,45.36,8323300,10/09/18
FRT,"Federal Realty Investment Trust",124.1,-0.88,-0.70%,125.2,123.06,375000,10/09/18
FTI,"Technipfmc Plc",30.89,0.66,+2.18%,31.16,29.99,3303200,10/09/18
FTV,"Fortive Corp",82.2,-1.45,-1.73%,83.27,82.13,5700600,10/09/18
GD,"General Dynamics Corp",204.16,-3,-1.45%,207,204.01,931800,10/09/18
GE,"General Electric Company",13.55,-0.06,-0.44%,13.78,13.41,110448094,10/09/18
GILD,"Gilead Sciences Inc",76.54,0.14,+0.18%,77.39,75.83,5367700,10/09/18
GIS,"General Mills",43.29,-1.1,-2.48%,44.03,43.06,3639200,10/09/18
GLW,"Corning Inc",34.25,-0.22,-0.64%,34.58,34.24,3916700,10/09/18
GM,"General Motors Company",32.65,-1.6,-4.67%,34,32.59,19919801,10/09/18
GOOG,"Alphabet Class C",1138.82,-10.15,-0.88%,1154.35,1137.57,1308700,10/09/18
GOOGL,"Alphabet Class A",1145.17,-10.75,-0.93%,1161.55,1144.17,1684700,10/09/18
GPC,"Genuine Parts Company",98.08,-1.66,-1.66%,100,98,645700,10/09/18
GPN,"Global Payments Inc",117.63,-0.23,-0.20%,119.05,116.68,928300,10/09/18
GPS,"Gap Inc",27.53,-0.4,-1.43%,27.91,27.2,3933600,10/09/18
GRMN,"Garmin Ltd",67.23,-0.62,-0.91%,68.22,66.85,960700,10/09/18
GS,"Goldman Sachs Group",222.91,-2.44,-1.08%,225.12,222.53,1863200,10/09/18
GT,"Goodyear Tire Rubber",21.62,-0.89,-3.95%,22.63,21.57,4109300,10/09/18
GWW,"W.W. Grainger",335.38,-10.51,-3.04%,344.99,334.73,843400,10/09/18
HAL,"Halliburton Company",42.14,0.13,+0.31%,42.57,41.66,9496899,10/09/18
HAS,"Hasbro Inc",100.7,-0.05,-0.05%,101.59,100.17,621300,10/09/18
HBAN,"Huntington Bcshs",15.44,-0.12,-0.77%,15.61,15.4,9983399,10/09/18
HBI,"Hanesbrands Inc",17.39,-0.02,-0.11%,17.51,17.24,3201500,10/09/18
HCA,"Hca Holdings Inc",139.58,0.7,+0.50%,141.11,138.6,1649800,10/09/18
HCP,"HCP Inc",25.91,0.25,+0.97%,25.92,25.51,2469500,10/09/18
HD,"Home Depot",195.75,-2.66,-1.34%,199.18,195.58,4466700,10/09/18
HES,"Hess Corp",72.57,1.46,+2.05%,73.19,71.12,2283400,10/09/18
HFC,"Hollyfrontier Corp",68.64,1.03,+1.52%,69.41,67.47,1786000,10/09/18
HIG,"Hartford Financial Services Group",50.64,0.56,+1.12%,51.06,50.13,2681500,10/09/18
HII,"Huntington Ingalls Industries",258.8,-2.34,-0.90%,261.52,257.84,188200,10/09/18
HLT,"Hilton Inc",75.23,0.28,+0.37%,75.66,74.78,6070600,10/09/18
HOG,"Harley-Davidson Inc",42.49,-1.25,-2.86%,43.77,42.38,1571700,10/09/18
HOLX,"Hologic Inc",41.35,0.69,+1.70%,41.67,40.43,2250700,10/09/18
HON,"Honeywell International Inc",160.94,-3.92,-2.38%,164.24,160.8,3670000,10/09/18
HP,"Helmerich & Payne",72.94,1.02,+1.42%,73.74,71.99,1113400,10/09/18
HPE,"Hewlett Packard Enterprise Comp",15.69,-0.2,-1.26%,15.92,15.59,12073999,10/09/18
HPQ,"Hewlett-Packard Company",24.97,-0.04,-0.16%,25.12,24.75,9625400,10/09/18
HRB,"H&R Block",26.76,0.25,+0.94%,26.9,26.2,3025200,10/09/18
HRL,"Hormel Foods Corp",40.72,0.19,+0.47%,40.85,40.33,2125000,10/09/18
HRS,"Harris Corp",166.29,-1.05,-0.63%,167.22,165.61,438600,10/09/18
HSIC,"Henry Schein Inc",87.8,0.83,+0.95%,88.35,86.62,1064500,10/09/18
HST,"Host Marriott Financial Trust",20.15,-0.3,-1.47%,20.45,20.11,4323900,10/09/18
HSY,"Hershey Foods Corp",104.92,-1.31,-1.23%,106.37,104.82,869800,10/09/18
HUM,"Humana Inc",335.14,1.48,+0.44%,337.89,333.81,652000,10/09/18
IBM,"International Business Machines",147.24,-1.15,-0.77%,148.36,146.93,3642400,10/09/18
ICE,"Intercontinental Exchange",76.04,0.66,+0.88%,76.25,75.06,2008200,10/09/18
IDXX,"Idexx Laboratories",223.9,-0.39,-0.17%,227.12,222,568300,10/09/18
IFF,"International Flavors & Fragrances",137.49,-1.96,-1.41%,139.5,137.39,2777600,10/09/18
ILMN,"Illumina Inc",323.74,-2.15,-0.66%,327.81,321.36,775600,10/09/18
INCY,"Incyte Corp",65.5,1.33,+2.07%,65.97,63.72,887500,10/09/18
INFO,"IHS Markit Ltd",53.12,0.27,+0.51%,53.29,52.7,1621900,10/09/18
INTC,"Intel Corp",46.55,-0.48,-1.02%,47.62,46.54,23285701,10/09/18
INTU,"Intuit Inc",220.66,3.32,+1.53%,221.48,217.34,1721800,10/09/18
IP,"International Paper Company",44.64,-2.69,-5.68%,46.1,44.18,8124100,10/09/18
IPG,"Interpublic Group of Companies",23.11,-0.29,-1.24%,23.44,23.02,5200300,10/09/18
IPGP,"Ipg Photonics Corp",134.77,-0.66,-0.49%,136.45,133.64,911500,10/09/18
IQV,"Iqvia Holdings Inc",127.38,0.94,+0.74%,128.43,125.85,945700,10/09/18
